carat,cut,color,clarity,depth,table,price,x,y,z
0.82,Good,G,VS2,64.0,57.0,2805,5.92,5.89,3.78
0.81,Very Good,G,SI1,62.5,60.0,2806,5.89,5.94,3.69
0.75,Very Good,H,VVS1,60.6,58.0,2806,5.85,5.9,3.56
0.7,Ideal,F,SI1,61.6,55.0,2806,5.72,5.74,3.53
0.71,Very Good,F,VS1,62.2,58.0,2807,5.66,5.72,3.54
0.71,Very Good,F,VS1,60.0,57.0,2807,5.84,5.9,3.52
0.93,Premium,J,SI2,61.9,57.0,2807,6.21,6.19,3.84
0.7,Very Good,F,VS1,62.0,57.0,2808,5.64,5.71,3.52
1.0,Fair,G,I1,66.4,59.0,2808,6.16,6.09,4.07
0.75,Very Good,G,VS2,63.4,56.0,2808,5.78,5.74,3.65
0.58,Ideal,E,VVS2,60.9,56.0,2808,5.41,5.43,3.3
0.73,Very Good,D,SI1,63.1,57.0,2808,5.74,5.7,3.61
0.81,Very Good,F,SI1,63.1,59.0,2809,5.85,5.79,3.67
0.81,Premium,D,SI2,59.2,57.0,2809,6.15,6.05,3.61
1.2,Fair,F,I1,64.6,56.0,2809,6.73,6.66,4.33
0.7,Very Good,F,VS1,61.8,56.0,2810,5.63,5.7,3.5
0.7,Very Good,F,VS1,59.9,60.0,2810,5.77,5.84,3.48
0.74,Ideal,D,SI2,61.7,55.0,2810,5.81,5.85,3.6
0.7,Good,F,VS1,62.8,61.0,2810,5.57,5.61,3.51
0.8,Good,G,SI1,62.7,57.0,2810,5.84,5.93,3.69
0.75,Very Good,F,SI1,63.4,58.0,2811,5.72,5.76,3.64
0.83,Very Good,D,SI1,63.5,54.0,2811,5.98,5.95,3.79
1.0,Fair,J,VS2,65.7,59.0,2811,6.14,6.07,4.01
0.99,Fair,I,SI2,68.1,56.0,2811,6.21,6.06,4.18
0.7,Very Good,G,VS1,63.0,60.0,2812,5.57,5.64,3.53
0.7,Very Good,F,VS2,59.5,58.0,2812,5.75,5.85,3.45
0.7,Good,E,SI1,63.5,59.0,2812,5.49,5.53,3.5
0.7,Very Good,F,VS2,61.7,58.0,2812,5.63,5.69,3.49
0.32,Premium,I,SI1,62.7,58.0,554,4.37,4.34,2.73
0.32,Premium,I,SI1,62.8,58.0,554,4.39,4.34,2.74
0.32,Ideal,I,SI1,62.4,57.0,554,4.37,4.35,2.72
0.32,Premium,I,SI1,61.0,59.0,554,4.39,4.36,2.67
0.32,Very Good,I,SI1,63.1,56.0,554,4.39,4.36,2.76
0.32,Ideal,I,SI1,60.7,57.0,554,4.47,4.42,2.7
0.3,Premium,H,SI1,60.9,59.0,554,4.31,4.29,2.62
0.3,Premium,H,SI1,62.9,58.0,554,4.28,4.24,2.68
0.3,Very Good,H,SI1,63.3,56.0,554,4.29,4.27,2.71
0.3,Good,H,SI1,63.8,55.0,554,4.26,4.2,2.7
0.3,Ideal,H,SI1,62.9,57.0,554,4.27,4.22,2.67
0.3,Very Good,H,SI1,63.4,60.0,554,4.25,4.23,2.69
0.32,Good,I,SI1,63.9,55.0,554,4.36,4.34,2.78
0.29,Very Good,E,VS1,61.9,55.0,555,4.28,4.33,2.66
0.29,Very Good,E,VS1,62.4,55.0,555,4.2,4.25,2.63
0.31,Very Good,F,SI1,61.8,58.0,555,4.32,4.35,2.68
0.34,Ideal,H,VS2,61.5,56.0,555,4.47,4.5,2.76
0.34,Ideal,H,VS2,60.4,57.0,555,4.54,4.57,2.75
0.34,Ideal,I,VS1,61.8,55.0,555,4.48,4.52,2.78
0.34,Ideal,I,VS1,62.0,56.0,555,4.5,4.53,2.8
0.3,Ideal,G,VS1,62.3,56.0,555,4.29,4.31,2.68
0.29,Ideal,F,VS1,61.6,56.0,555,4.26,4.31,2.64
0.35,Ideal,G,SI1,60.6,56.0,555,4.56,4.58,2.77
0.43,Very Good,E,I1,58.4,62.0,555,4.94,5.0,2.9
0.32,Very Good,F,VS2,61.4,58.0,556,4.37,4.42,2.7
0.36,Ideal,I,VS2,61.9,56.0,556,4.54,4.57,2.82
0.26,Ideal,E,VS1,61.5,57.0,556,4.09,4.12,2.52
0.7,Very Good,F,VS2,62.3,58.0,2812,5.64,5.72,3.54
0.7,Very Good,F,VS2,60.9,61.0,2812,5.66,5.71,3.46
0.99,Fair,J,SI1,55.0,61.0,2812,6.72,6.67,3.68
0.73,Premium,E,VS2,58.6,60.0,2812,5.92,5.89,3.46
0.51,Ideal,F,VVS1,62.0,57.0,2812,5.15,5.11,3.18
0.91,Premium,G,SI2,59.8,58.0,2813,6.3,6.29,3.77
0.91,Good,I,VS2,64.3,58.0,2813,6.09,6.05,3.9
0.76,Premium,E,SI1,62.2,59.0,2814,5.86,5.81,3.63
0.76,Ideal,E,SI1,61.7,57.0,2814,5.88,5.85,3.62
0.75,Premium,E,SI1,61.1,59.0,2814,5.86,5.83,3.57
0.55,Very Good,D,VVS1,61.5,56.0,2815,5.23,5.27,3.23
0.76,Very Good,F,SI2,58.5,62.0,2815,5.93,6.01,3.49
0.74,Premium,G,VS1,61.7,58.0,2815,5.79,5.81,3.58
0.7,Ideal,H,SI1,60.4,56.0,2815,5.75,5.81,3.49
0.7,Ideal,H,SI1,61.4,56.0,2815,5.7,5.76,3.52
0.7,Ideal,H,SI1,61.5,55.0,2815,5.73,5.79,3.54
0.7,Ideal,H,SI1,61.4,56.0,2815,5.72,5.77,3.53
0.9,Fair,J,VS2,65.0,56.0,2815,6.08,6.04,3.94
0.95,Fair,F,SI2,56.0,60.0,2815,6.62,6.53,3.68
0.89,Premium,H,SI2,60.2,59.0,2815,6.26,6.23,3.76
0.72,Premium,E,VS2,58.3,58.0,2815,5.99,5.92,3.47
0.96,Fair,E,SI2,53.1,63.0,2815,6.73,6.65,3.55
1.02,Premium,G,I1,60.3,58.0,2815,6.55,6.5,3.94
0.78,Very Good,I,VVS2,61.4,56.0,2816,5.91,5.95,3.64
0.61,Ideal,G,VVS2,60.1,57.0,2816,5.52,5.54,3.32
0.71,Good,D,VS1,63.4,55.0,2816,5.61,5.69,3.58
0.78,Premium,F,SI1,61.5,59.0,2816,5.96,5.88,3.64
0.87,Ideal,H,SI2,62.7,56.0,2816,6.16,6.13,3.85
0.71,Premium,E,SI1,61.3,56.0,2817,5.78,5.73,3.53
0.71,Ideal,I,VVS2,60.2,56.0,2817,5.84,5.89,3.53
0.71,Ideal,E,VS2,62.7,57.0,2817,5.66,5.64,3.54
0.71,Premium,E,VS2,62.3,58.0,2817,5.69,5.65,3.53
0.63,Ideal,F,VVS2,61.5,56.0,2817,5.48,5.52,3.38
0.71,Premium,E,SI1,59.2,59.0,2817,5.86,5.83,3.46
0.71,Premium,E,SI1,61.8,59.0,2817,5.75,5.7,3.54
0.71,Premium,E,SI1,61.4,58.0,2817,5.77,5.73,3.53
0.9,Ideal,J,VS2,62.8,55.0,2817,6.2,6.16,3.88
0.7,Premium,E,VS2,62.4,61.0,2818,5.66,5.63,3.52
0.7,Premium,E,VS2,59.3,60.0,2818,5.78,5.73,3.41
0.7,Premium,E,VS2,63.0,60.0,2818,5.64,5.6,3.54
1.0,Premium,H,I1,61.3,60.0,2818,6.43,6.39,3.93
0.86,Premium,F,SI2,59.3,62.0,2818,6.36,6.22,3.73
0.8,Ideal,H,SI1,61.0,57.0,2818,6.07,6.0,3.68
0.7,Premium,E,VS1,59.6,57.0,2818,5.91,5.83,3.5
0.7,Premium,F,VS2,61.8,60.0,2818,5.69,5.64,3.5
0.7,Premium,E,VS1,62.7,57.0,2818,5.68,5.64,3.55
1.0,Fair,H,SI2,65.3,62.0,2818,6.34,6.12,4.08
0.72,Very Good,G,VS1,63.8,58.0,2819,5.64,5.68,3.61
0.72,Ideal,H,VS1,62.3,56.0,2819,5.73,5.77,3.58
0.7,Good,F,VS1,59.7,63.0,2819,5.76,5.79,3.45
0.86,Good,F,SI2,64.3,60.0,2819,5.97,5.95,3.83
0.75,Ideal,E,SI1,62.0,57.0,2821,5.8,5.78,3.59
0.73,Premium,E,VS2,61.6,59.0,2821,5.77,5.73,3.54
0.53,Ideal,E,VVS1,61.9,55.0,2821,5.2,5.21,3.22
0.73,Premium,E,SI1,61.3,58.0,2821,5.83,5.76,3.55
0.73,Good,E,SI1,63.6,57.0,2821,5.72,5.7,3.63
0.73,Very Good,E,SI1,63.2,58.0,2821,5.76,5.7,3.62
0.7,Premium,E,VS1,60.8,60.0,2822,5.74,5.71,3.48
0.72,Premium,E,VS2,60.3,59.0,2822,5.84,5.8,3.51
0.72,Premium,E,VS2,60.9,60.0,2822,5.8,5.76,3.52
0.72,Premium,E,VS2,62.4,59.0,2822,5.77,5.7,3.58
0.7,Premium,E,VS2,60.2,60.0,2822,5.73,5.7,3.44
0.6,Ideal,F,VVS2,62.0,55.0,2822,5.37,5.4,3.34
0.74,Ideal,I,VVS1,60.8,57.0,2822,5.85,5.89,3.57
0.73,Ideal,F,SI1,62.1,55.0,2822,5.75,5.78,3.58
0.71,Premium,D,SI1,62.7,60.0,2822,5.71,5.67,3.57
0.71,Premium,D,SI1,61.3,58.0,2822,5.75,5.73,3.52
0.7,Premium,D,SI1,60.2,60.0,2822,5.82,5.75,3.48
0.7,Ideal,D,SI1,60.7,56.0,2822,5.75,5.72,3.48
0.9,Good,J,VS2,64.0,61.0,2822,6.04,6.03,3.86
0.7,Premium,E,VS2,61.5,59.0,2822,5.73,5.68,3.51
0.7,Premium,E,VS2,62.6,56.0,2822,5.71,5.66,3.56
0.7,Ideal,D,SI1,59.7,58.0,2822,5.82,5.77,3.46
0.7,Good,E,SI1,61.4,64.0,2822,5.71,5.66,3.49
0.7,Ideal,D,SI1,62.5,57.0,2822,5.62,5.59,3.51
0.7,Ideal,D,SI1,61.8,56.0,2822,5.73,5.63,3.51
0.7,Premium,E,VS2,60.7,62.0,2822,5.72,5.68,3.46
0.7,Premium,F,VS2,60.6,58.0,2822,5.8,5.72,3.49
0.7,Ideal,D,SI1,61.4,54.0,2822,5.75,5.71,3.52
0.9,Good,I,SI1,63.8,57.0,2823,6.06,6.13,3.89
0.61,Ideal,E,VVS2,61.3,54.0,2823,5.51,5.59,3.4
0.71,Ideal,E,SI1,60.5,56.0,2823,5.77,5.73,3.47
0.77,Ideal,I,VVS2,62.1,57.0,2824,5.84,5.86,3.63
0.74,Good,E,VS1,63.1,58.0,2824,5.73,5.75,3.62
0.82,Premium,E,SI2,60.8,60.0,2824,6.05,6.03,3.67
0.71,Premium,G,VS1,62.2,59.0,2825,5.73,5.66,3.54
0.83,Premium,H,SI1,60.0,59.0,2825,6.08,6.05,3.64
0.73,Very Good,G,VS1,62.0,57.0,2825,5.75,5.8,3.58
0.83,Premium,H,SI1,62.5,59.0,2825,6.02,5.95,3.74
1.17,Premium,J,I1,60.2,61.0,2825,6.9,6.83,4.13
0.91,Fair,H,SI2,61.3,67.0,2825,6.24,6.19,3.81
0.73,Premium,E,VS1,62.6,60.0,2826,5.75,5.68,3.58
0.7,Good,E,VS1,57.2,59.0,2826,5.94,5.88,3.38
0.9,Premium,I,SI2,62.2,59.0,2826,6.11,6.07,3.79
0.7,Premium,E,VS1,62.2,58.0,2826,5.66,5.6,3.5
0.7,Very Good,D,VS2,63.3,56.0,2826,5.6,5.58,3.54
0.7,Premium,E,VS1,59.4,61.0,2826,5.78,5.74,3.42
0.9,Very Good,I,SI2,63.5,56.0,2826,6.17,6.07,3.88
0.78,Premium,F,SI1,60.8,60.0,2826,5.97,5.94,3.62
0.96,Ideal,F,I1,60.7,55.0,2826,6.41,6.37,3.88
0.7,Very Good,D,SI1,62.3,59.0,2827,5.67,5.7,3.54
0.72,Good,D,VS2,64.0,54.0,2827,5.68,5.7,3.64
0.79,Premium,H,VVS2,62.6,58.0,2827,5.96,5.9,3.71
0.7,Ideal,H,VVS1,61.6,57.0,2827,5.69,5.74,3.52
0.7,Ideal,H,VVS1,62.3,55.0,2827,5.66,5.7,3.54
0.7,Ideal,D,SI2,60.6,57.0,2828,5.74,5.77,3.49
1.01,Premium,H,SI2,61.6,61.0,2828,6.39,6.31,3.91
0.72,Premium,F,VS1,62.2,58.0,2829,5.75,5.7,3.56
0.8,Good,E,SI2,63.7,54.0,2829,5.91,5.87,3.75
0.59,Ideal,E,VVS1,62.0,56.0,2829,5.36,5.38,3.33
0.72,Ideal,F,VS1,61.7,57.0,2829,5.77,5.74,3.55
0.75,Premium,E,SI2,61.9,57.0,2829,5.88,5.82,3.62
0.8,Premium,E,SI2,60.2,57.0,2829,6.05,6.01,3.63
0.71,Very Good,E,VS2,62.7,59.0,2830,5.65,5.7,3.56
0.77,Very Good,H,SI1,61.7,56.0,2830,5.84,5.89,3.62
0.97,Ideal,F,I1,60.7,56.0,2830,6.41,6.43,3.9
0.53,Ideal,F,VVS1,60.9,57.0,2830,5.23,5.29,3.19
0.53,Ideal,F,VVS1,61.8,57.0,2830,5.16,5.19,3.2
0.8,Ideal,I,VS2,62.1,54.4,2830,5.94,5.99,3.7
0.9,Premium,G,SI1,60.6,62.0,2830,6.21,6.13,3.74
0.76,Very Good,E,SI2,60.8,60.0,2831,5.89,5.98,3.61
0.72,Ideal,E,SI1,62.3,57.0,2831,5.7,5.76,3.57
0.75,Ideal,E,SI1,61.4,57.0,2831,5.82,5.87,3.59
0.72,Premium,E,SI1,62.1,58.0,2831,5.73,5.76,3.57
0.79,Ideal,G,SI1,61.8,56.0,2831,5.93,5.91,3.66
0.72,Very Good,F,VS2,62.5,58.0,2832,5.71,5.75,3.58
0.91,Very Good,I,SI2,62.8,61.0,2832,6.15,6.18,3.87
0.71,Premium,G,VVS2,62.1,57.0,2832,5.75,5.65,3.54
0.81,Premium,G,SI1,63.0,60.0,2832,5.87,5.81,3.68
0.71,Premium,F,VS1,62.2,58.0,2832,5.72,5.66,3.54
0.9,Good,J,SI1,64.3,63.0,2832,6.05,6.01,3.88
0.8,Very Good,I,VS2,62.0,58.0,2833,5.86,5.95,3.66
0.56,Very Good,E,IF,61.0,59.0,2833,5.28,5.34,3.24
0.7,Very Good,D,VS2,59.6,61.0,2833,5.77,5.8,3.45
0.7,Ideal,D,VS2,61.0,57.0,2833,5.74,5.76,3.51
0.61,Ideal,F,VVS2,61.7,55.0,2833,5.45,5.48,3.37
0.85,Ideal,H,SI2,62.5,57.0,2833,6.02,6.07,3.78
0.7,Ideal,F,SI1,60.7,57.0,2833,5.73,5.75,3.49
0.8,Ideal,G,VS2,62.2,56.0,2834,5.94,5.87,3.67
0.8,Ideal,H,VS2,62.8,57.0,2834,5.91,5.87,3.7
0.51,Very Good,D,VVS1,59.9,58.0,2834,5.16,5.19,3.1
0.53,Ideal,F,VVS1,61.4,57.0,2834,5.2,5.23,3.2
0.78,Ideal,I,VS2,61.8,55.0,2834,5.92,5.95,3.67
0.9,Very Good,J,SI1,63.4,54.0,2834,6.17,6.14,3.9
0.9,Fair,G,SI2,65.3,59.0,2834,6.07,6.0,3.94
0.77,Ideal,E,SI2,60.7,55.0,2834,6.01,5.95,3.63
0.73,Ideal,F,VS1,61.2,56.0,2835,5.89,5.81,3.58
0.63,Ideal,F,VVS2,61.9,57.0,2835,5.47,5.51,3.4
0.7,Ideal,E,VS2,61.5,54.0,2835,5.7,5.75,3.52
0.72,Ideal,E,VS2,62.8,57.0,2835,5.71,5.73,3.59
0.72,Ideal,E,SI1,61.0,57.0,2835,5.78,5.8,3.53
0.82,Very Good,H,SI1,60.7,56.0,2836,6.04,6.06,3.67
0.71,Good,E,VS2,62.8,60.0,2836,5.6,5.65,3.53
0.7,Premium,E,VS1,62.6,59.0,2837,5.69,5.66,3.55
0.7,Ideal,E,VS1,61.8,56.0,2837,5.74,5.69,3.53
0.71,Ideal,F,SI1,59.8,53.0,2838,5.86,5.82,3.49
0.76,Very Good,H,SI1,60.9,55.0,2838,5.92,5.94,3.61
0.82,Fair,F,SI1,64.9,58.0,2838,5.83,5.79,3.77
0.72,Premium,F,VS1,58.8,60.0,2838,5.91,5.89,3.47
0.7,Premium,F,VS2,62.3,58.0,2838,5.72,5.64,3.54
0.7,Premium,F,VS2,61.7,58.0,2838,5.69,5.63,3.49
0.7,Premium,G,VS1,62.6,55.0,2838,5.73,5.64,3.56
0.7,Premium,F,VS2,59.4,61.0,2838,5.83,5.79,3.45
0.7,Premium,F,VS2,60.9,61.0,2838,5.71,5.66,3.46
0.74,Very Good,E,SI1,60.0,57.0,2839,5.85,5.89,3.52
0.71,Ideal,F,VS1,61.5,57.0,2839,5.74,5.71,3.52
0.7,Ideal,F,VS1,61.6,54.0,2839,5.75,5.72,3.53
0.71,Ideal,F,VS1,62.1,55.0,2839,5.82,5.68,3.57
0.71,Premium,F,VS1,59.1,61.0,2839,5.84,5.81,3.44
0.71,Premium,F,VS1,59.0,60.0,2839,5.82,5.8,3.43
0.71,Premium,F,VS1,60.5,58.0,2839,5.75,5.72,3.47
0.7,Ideal,F,VS1,62.4,53.0,2839,5.73,5.71,3.57
0.73,Ideal,G,VS2,61.8,54.0,2839,5.8,5.82,3.59
0.7,Ideal,E,VS2,62.1,54.0,2839,5.69,5.72,3.54
0.7,Ideal,G,VS1,61.3,57.0,2839,5.71,5.74,3.51
0.71,Premium,G,VVS2,60.3,58.0,2839,5.82,5.78,3.5
0.71,Premium,F,VS1,59.2,58.0,2839,5.87,5.82,3.46
0.79,Premium,G,VS2,59.3,62.0,2839,6.09,6.01,3.59
0.71,Premium,F,VS1,62.7,59.0,2839,5.7,5.62,3.55
0.77,Very Good,H,VS1,61.0,60.0,2840,5.9,5.87,3.59
0.7,Ideal,F,SI1,61.0,56.0,2840,5.75,5.8,3.52
0.71,Premium,F,VS2,59.3,56.0,2840,5.88,5.82,3.47
0.92,Ideal,D,SI2,61.9,56.0,2840,6.27,6.2,3.86
0.83,Premium,F,SI2,61.4,59.0,2840,6.08,6.04,3.72
0.7,Premium,H,VVS1,59.2,60.0,2840,5.87,5.78,3.45
0.73,Premium,F,VS2,60.3,59.0,2841,5.9,5.87,3.55
0.71,Very Good,D,VS1,63.4,55.0,2841,5.69,5.61,3.58
0.73,Very Good,D,SI1,63.9,57.0,2841,5.66,5.71,3.63
0.82,Ideal,F,SI2,61.7,53.0,2841,6.0,6.12,3.74
0.82,Ideal,F,SI2,62.3,56.0,2841,5.96,6.02,3.73
0.82,Very Good,F,SI2,59.7,57.0,2841,6.12,6.14,3.66
0.52,Ideal,F,VVS1,61.2,56.0,2841,5.19,5.21,3.18
1.0,Premium,F,I1,58.9,60.0,2841,6.6,6.55,3.87
0.95,Fair,G,SI1,66.7,56.0,2841,6.16,6.03,4.06
0.73,Ideal,D,SI1,61.4,57.0,2841,5.76,5.8,3.55
0.73,Premium,F,VS2,59.9,59.0,2841,5.87,5.77,3.5
0.73,Premium,G,VS1,61.4,58.0,2841,5.82,5.77,3.56
0.8,Ideal,I,VS1,62.6,54.0,2842,5.92,5.96,3.72
0.7,Premium,F,VS2,58.7,61.0,2842,5.8,5.72,3.38
0.7,Very Good,E,VS2,60.2,62.0,2843,5.71,5.75,3.45
0.7,Very Good,E,VS2,62.7,58.0,2843,5.65,5.67,3.55
0.71,Very Good,E,VS2,59.4,58.0,2843,5.76,5.82,3.44
0.81,Very Good,F,SI2,63.2,58.0,2843,5.91,5.92,3.74
0.71,Very Good,D,SI1,61.5,58.0,2843,5.73,5.79,3.54
0.73,Ideal,G,VVS2,61.3,57.0,2843,5.81,5.84,3.57
0.73,Very Good,F,VS1,61.8,59.0,2843,5.73,5.79,3.56
0.72,Ideal,E,VS2,62.0,57.0,2843,5.71,5.74,3.55
0.81,Ideal,F,SI2,62.1,57.0,2843,5.91,5.95,3.68
0.71,Ideal,G,VVS2,60.7,57.0,2843,5.81,5.78,3.52
0.73,Very Good,E,SI1,57.7,61.0,2844,5.92,5.96,3.43
0.7,Very Good,E,VS1,62.0,59.0,2844,5.65,5.68,3.51
1.01,Ideal,I,I1,61.5,57.0,2844,6.45,6.46,3.97
1.01,Good,I,I1,63.1,57.0,2844,6.35,6.39,4.02
0.79,Ideal,H,VS2,62.5,57.0,2844,5.91,5.93,3.7
0.7,Very Good,E,VS2,61.8,59.0,2845,5.65,5.68,3.5
0.7,Very Good,E,VS2,58.9,60.0,2845,5.83,5.85,3.44
0.8,Good,H,VS2,63.4,60.0,2845,5.92,5.82,3.72
1.27,Premium,H,SI2,59.3,61.0,2845,7.12,7.05,4.2
0.79,Ideal,D,SI1,61.5,56.0,2846,5.96,5.91,3.65
0.72,Very Good,F,VS1,60.2,59.0,2846,5.79,5.84,3.5
0.73,Ideal,H,VVS2,61.6,56.0,2846,5.79,5.84,3.58
1.01,Fair,H,SI2,65.4,59.0,2846,6.3,6.26,4.11
1.01,Good,H,I1,64.2,61.0,2846,6.25,6.18,3.99
0.73,Ideal,E,SI1,59.1,59.0,2846,5.92,5.95,3.51
0.7,Ideal,E,SI1,61.6,57.0,2846,5.71,5.76,3.53
0.7,Good,F,VS2,59.1,61.0,2846,5.76,5.84,3.43
0.77,Premium,E,SI1,62.9,59.0,2846,5.84,5.79,3.66
0.77,Premium,G,VS2,61.3,60.0,2846,5.91,5.81,3.59
0.77,Premium,G,VS1,61.4,58.0,2846,5.94,5.89,3.63
0.84,Very Good,H,SI1,61.2,57.0,2847,6.1,6.12,3.74
0.72,Ideal,E,SI1,60.3,57.0,2847,5.83,5.85,3.52
0.76,Premium,D,SI1,61.1,59.0,2847,5.93,5.88,3.61
0.7,Very Good,G,VVS2,62.9,59.0,2848,5.61,5.68,3.55
0.54,Ideal,D,VVS2,61.5,55.0,2848,5.25,5.29,3.24
0.75,Fair,D,SI2,64.6,57.0,2848,5.74,5.72,3.7
0.79,Good,E,SI1,64.1,54.0,2849,5.86,5.84,3.75
0.74,Very Good,E,VS1,63.1,58.0,2849,5.75,5.73,3.62
0.7,Very Good,E,VS2,61.0,60.0,2850,5.74,5.77,3.51
0.7,Ideal,F,VS2,60.8,59.0,2850,5.69,5.79,3.49
0.75,Ideal,J,SI1,61.5,56.0,2850,5.83,5.87,3.6
1.2,Very Good,H,I1,63.1,60.0,2850,6.75,6.67,4.23
0.8,Very Good,F,SI1,63.4,57.0,2851,5.89,5.82,3.71
0.87,Very Good,F,SI2,61.0,63.0,2851,6.22,6.07,3.75
0.86,Premium,H,SI1,62.7,59.0,2851,6.04,5.98,3.77
0.74,Ideal,F,SI1,61.0,57.0,2851,5.85,5.81,3.56
0.58,Very Good,E,IF,60.6,59.0,2852,5.37,5.43,3.27
0.78,Ideal,I,VS1,61.5,57.0,2852,5.88,5.92,3.63
0.74,Ideal,G,SI1,61.3,55.0,2852,5.85,5.86,3.59
0.73,Ideal,E,SI1,62.7,55.0,2852,5.7,5.79,3.6
0.91,Very Good,I,SI1,63.5,57.0,2852,6.12,6.07,3.87
0.71,Premium,F,VS2,62.6,58.0,2853,5.67,5.7,3.56
0.71,Good,G,VS1,63.5,55.0,2853,5.64,5.66,3.59
0.79,Premium,D,SI2,60.0,60.0,2853,6.07,6.03,3.63
0.71,Premium,E,SI1,62.7,58.0,2853,5.73,5.66,3.57
0.82,Premium,I,VS1,61.9,58.0,2853,5.99,5.97,3.7
0.78,Very Good,H,VS1,61.9,57.1,2854,5.87,5.95,3.66
0.7,Very Good,E,VS1,62.4,56.0,2854,5.64,5.7,3.54
1.12,Premium,H,I1,59.1,61.0,2854,6.78,6.75,4.0
0.73,Premium,E,VS2,62.0,57.0,2854,5.86,5.76,3.6
0.91,Fair,J,VS2,64.4,62.0,2854,6.06,6.03,3.89
0.91,Fair,J,VS2,65.4,60.0,2854,6.04,6.0,3.94
0.91,Good,J,VS2,64.2,58.0,2854,6.12,6.09,3.92
0.91,Fair,H,SI1,65.8,58.0,2854,6.04,6.01,3.96
0.7,Premium,E,VS1,58.4,59.0,2854,5.91,5.83,3.43
0.73,Very Good,F,VS2,62.5,57.0,2855,5.7,5.75,3.58
1.03,Good,J,SI1,63.6,57.0,2855,6.38,6.29,4.03
0.74,Premium,D,VS2,62.4,57.0,2855,5.8,5.74,3.6
0.98,Fair,E,SI2,53.3,67.0,2855,6.82,6.74,3.61
1.0,Fair,G,SI2,67.8,61.0,2856,5.96,5.9,4.02
1.02,Ideal,H,SI2,61.6,55.0,2856,6.49,6.43,3.98
0.6,Ideal,F,VVS2,60.8,57.0,2856,5.44,5.49,3.32
0.8,Ideal,G,SI2,61.6,56.0,2856,5.97,6.01,3.69
1.0,Fair,I,SI1,67.9,62.0,2856,6.19,6.03,4.15
0.26,Ideal,E,VS1,62.3,57.0,556,4.05,4.08,2.53
0.26,Ideal,E,VS1,62.1,56.0,556,4.09,4.12,2.55
0.36,Ideal,H,SI1,61.9,55.0,556,4.57,4.59,2.83
0.34,Good,G,VS2,57.5,61.0,556,4.6,4.66,2.66
0.34,Good,E,SI1,63.3,57.0,556,4.44,4.47,2.82
